"navn","addresse","Org_nr","Sektor","godkjenning","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","DVH_regioner_2019","Kommunenavn_2020"
"Wild Supply AS","Kinnavegen 29 , 5310 HAUGLANDSHELLA","Org. nr. 000 000 000","Foredling, import og omsetning","Gyldig fra 05.03.2020 til 30.12.2021",60.4669672,5.0895294,"Hauglandshella","Askøy","Vestland","none","Vest Norge DVH","ASKØY"
"Wilson Kirsten Aalstveit og Jeremy","Lykkjavegen 212 , 3560 HEMSEDAL","Org. nr. 969 089 874","Økologisk landbruksproduksjon","Gyldig fra 05.03.2020 til 30.12.2021",60.8403499,8.6491887,"Hemsedal","Hemsedal","Viken","none","VIKEN","HEMSEDAL"
"Winepartners Nordic AS","Tollbugata 8 A , 0152 OSLO","Org. nr. 999 647 278","Foredling, import og omsetning","Gyldig fra 01.12.2020 til 30.12.2021",59.9097201,10.7465516,"Oslo","Oslo","Oslo","Sentrum","Oslo DVH","OSLO"
"Winning Brands AS","Postboks 139 Skøyen , 0212 OSLO","Org. nr. 997 808 029","Foredling, import og omsetning","Gyldig fra 16.03.2020 til 30.12.2021",59.9228264,10.6793482,0,0,"Oslo","none","OSLO","OSLO"
"Winther Gård Leila Hyvønen","Djupdalsvn. 131 , 7100 RISSA","Org. nr. 979 923 171","Økologisk landbruksproduksjon","Gyldig fra 15.11.2020 til 30.12.2021",63.6700627,10.1773984,0,"Indre Fosen","Trøndelag","none","Midt Norge DVH","INDRE FOSEN"
"Wirgenes Tore Jardar","Lågendalsveien 2600 , 3282 KVELDE","Org. nr. 987 317 434","Foredling, import og omsetning","Gyldig fra 27.04.2020 til 30.12.2021",59.2869686,9.9190447,"Kvelde","Larvik","Vestfold og Telemark","none","Vestre Østland DVH","LARVIK"
"Wold Arvid","Jamtlandsvegen 3353 , 7660 VUKU","Org. nr. 969 292 157","Økologisk landbruksproduksjon","Gyldig fra 08.12.2020 til 30.12.2021",63.6635159,12.020421,"Vuku","Verdal","Trøndelag","none","Midt Norge DVH","VERDAL"
"Wold Hans Erik","Øvre Bolli 97 , 6493 LYNGSTAD","Org. nr. 969 395 924","Økologisk landbruksproduksjon","Gyldig fra 09.11.2020 til 30.12.2021",62.9395106,7.328339,"Lyngstad","Hustadvika","Møre og Romsdal","none","Midt Norge DVH","#N/A"
"Wold-Hansen Jon Herman","Bettumvn. 263 , 3178 VÅLE","Org. nr. 985 891 923","Økologisk landbruksproduksjon","Gyldig fra 02.11.2020 til 30.12.2021",59.4227208,10.3093298,0,"Tønsberg","Vestfold og Telemark","none","Vestre Østland DVH","TØNSBERG"
"Wolden Snorre","Selvlia 36 , 7318 AGDENES","Org. nr. 924 364 807","Økologisk landbruksproduksjon","Gyldig fra 13.07.2020 til 30.12.2021",63.6158012,9.7112532,"Agdenes","Orkland","Trøndelag","none","Midt Norge DVH","AGDENES"
"Wølneberg Terje","Trondheimsv - Jessheim 98D , 2050 JESSHEIM","Org. nr. 969 287 129","Økologisk landbruksproduksjon","Gyldig fra 05.05.2020 til 30.12.2021",60.1444945,11.1690688,"Jessheim","Ullensaker","Viken","none","VIKEN","ULLENSAKER"
"Wølner Kristian og Beate","Såkrokveien 71 , 1923 SØRUM","Org. nr. 969 309 300","Økologisk landbruksproduksjon","Gyldig fra 26.05.2020 til 30.12.2021",60.0544076,11.2380917,0,"Lillestrøm","Viken","none","VIKEN","#N/A"
"World Wines AS","Skibåsen 42 A , 4636 KRISTIANSAND S","Org. nr. 984 025 815","Foredling, import og omsetning","Gyldig fra 16.11.2020 til 30.12.2021",58.1773996,8.1206662,"Kristiansand","Kristiansand","Agder","none","Vest Norge DVH","KRISTIANSAND"
